,name,location,2011,2012,2013,2014,2015,2016,2017,2018
163,Georgetown University,United States,45.0,57.7,59.8,62.3,62.2,82.5,84.6,87.5
164,University of Liverpool,United Kingdom,59.6,55.6,64.8,70.3,76.2,85.9,85.7,86.8
165,University of Amsterdam,Netherlands,60.2,68.3,75.1,75.0,76.6,87.4,90.3,91.9
166,Aarhus University,Denmark,57.3,64.0,71.6,65.8,66.5,79.8,83.0,82.7
167,University of Würzburg,Germany,60.4,63.0,70.9,77.0,81.4,79.1,83.4,86.5
168,University of Leeds,United Kingdom,55.6,57.1,65.8,71.3,69.3,79.2,81.3,77.8
169,University of Groningen,Netherlands,54.1,62.4,71.6,71.1,68.1,84.0,87.1,89.0
170,Sun Yat-sen University,China,70.2,50.5,52.2,48.1,54.1,45.7,50.0,55.9
171,Goethe University Frankfurt,Germany,69.5,75.1,73.9,80.7,78.8,79.3,79.7,73.4
172,Bielefeld University,Germany,70.4,61.6,63.5,59.9,52.0,49.9,55.6,58.6
173,"Nanyang Technological University, Singapore",Singapore,45.0,34.5,54.5,67.5,75.9,85.6,90.7,90.7
174,University of Nottingham,United Kingdom,52.5,57.6,62.8,62.3,62.7,77.5,78.9,80.5
175,University of East Anglia,United Kingdom,62.8,85.6,85.5,81.7,83.7,92.7,92.4,90.5
176,University of Copenhagen,Denmark,58.3,72.1,74.3,73.1,73.5,86.2,89.8,90.6
177,University of Bonn,Germany,65.3,,80.4,80.7,83.8,85.3,88.3,91.3
178,Humboldt University of Berlin,Germany,52.0,50.1,59.5,68.4,71.9,73.6,79.9,76.1
179,Monash University,Australia,60.5,57.1,60.9,65.4,65.7,73.3,78.5,80.9
180,National Chiao Tung University,Taiwan,32.9,25.1,31.5,37.3,40.4,34.2,35.3,31.5
181,RWTH Aachen University,Germany,48.9,67.2,73.8,76.0,75.0,63.2,71.3,72.8
182,Middle East Technical University,Turkey,66.4,35.1,44.6,56.4,92.0,28.8,31.4,31.9
183,University of Exeter,United Kingdom,57.9,67.8,78.1,78.3,78.0,94.3,94.3,93.7
184,University of Twente,Netherlands,42.0,54.4,55.6,54.3,49.4,68.8,70.8,68.5
185,University of Konstanz,Germany,51.3,62.8,64.5,59.9,59.4,61.9,64.4,65.2
186,Karlsruhe Institute of Technology,Germany,60.7,65.5,63.4,64.8,62.9,73.8,76.4,75.7
187,University of Innsbruck,Austria,60.2,65.7,71.6,70.6,77.0,67.3,70.8,77.8
188,University of Tübingen,Germany,57.3,67.6,73.8,71.8,74.0,79.3,82.9,83.0
